Time	subj	trialNr	ground1	speed1	dist1	ground2	speed2	dist2	answ	rTime	Speed	Dist	speed_comparison	antwort	condition
2757.4771743	30	84	viz.VizPrimitive(7)	0.7	7	viz.VizPrimitive(6)	0.35	7	0	2.71002360000011	slow	short	fastslow	1	0
2854.5467452	30	85	viz.VizPrimitive(7)	1.75	35	viz.VizPrimitive(8)	3.5	35	1	2.11014730000034	normal	long	slowfast	1	2
2893.8633411	30	86	viz.VizPrimitive(5)	1.75	7	viz.VizPrimitive(7)	3.5	7	1	6.36539119999998	normal	short	slowfast	1	1
2913.4215004	30	87	viz.VizPrimitive(6)	0.35	7	viz.VizPrimitive(5)	0.7	7	0	2.76872080000021	slow	short	slowfast	0	0
2953.3711615	30	88	viz.VizPrimitive(8)	1.75	35	viz.VizPrimitive(7)	3.5	35	1	3.09858329999997	normal	long	slowfast	1	2
3026.1510466	30	90	viz.VizPrimitive(5)	0.35	7	viz.VizPrimitive(8)	0.7	7	0	2.55392889999985	slow	short	slowfast	0	0
3098.0093174	30	92	viz.VizPrimitive(7)	1.75	35	viz.VizPrimitive(8)	3.5	35	1	1.53861009999991	normal	long	slowfast	1	2
3136.7371412	30	93	viz.VizPrimitive(5)	1.75	7	viz.VizPrimitive(7)	3.5	7	1	5.85624250000001	normal	short	slowfast	1	1
3188.8371517	30	95	viz.VizPrimitive(6)	0.7	7	viz.VizPrimitive(7)	0.35	7	1	2.25225909999972	slow	short	fastslow	0	0
3228.2756636	30	96	viz.VizPrimitive(6)	0.35	7	viz.VizPrimitive(8)	0.7	7	0	2.65319360000012	slow	short	slowfast	0	0
3268.1253071	30	97	viz.VizPrimitive(8)	3.5	7	viz.VizPrimitive(7)	1.75	7	0	1.60134170000038	normal	short	fastslow	1	1
3314.9275295	30	99	viz.VizPrimitive(8)	1.75	35	viz.VizPrimitive(7)	3.5	35	1	2.53823539999985	normal	long	slowfast	1	2
3354.654999	30	100	viz.VizPrimitive(5)	3.5	35	viz.VizPrimitive(7)	1.75	35	1	1.87180790000002	normal	long	fastslow	0	2
3393.7160069	30	101	viz.VizPrimitive(8)	0.7	7	viz.VizPrimitive(5)	0.35	7	1	2.6866571999999	slow	short	fastslow	0	0
3433.5989339	30	102	viz.VizPrimitive(5)	0.7	7	viz.VizPrimitive(7)	0.35	7	1	4.4866248999997	slow	short	fastslow	0	0
3475.258885	30	103	viz.VizPrimitive(8)	0.35	7	viz.VizPrimitive(6)	0.7	7	0	1.94566910000003	slow	short	slowfast	0	0
3514.4088106	30	104	viz.VizPrimitive(7)	1.75	35	viz.VizPrimitive(5)	3.5	35	1	4.92488959999991	normal	long	slowfast	1	2
3556.5130128	30	105	viz.VizPrimitive(6)	0.7	7	viz.VizPrimitive(8)	0.35	7	1	1.65066739999975	slow	short	fastslow	0	0
3595.3631173	30	106	viz.VizPrimitive(7)	3.5	35	viz.VizPrimitive(6)	1.75	35	0	2.95426709999992	normal	long	fastslow	1	2
3635.5125879	30	107	viz.VizPrimitive(5)	3.5	7	viz.VizPrimitive(7)	1.75	7	0	1.20081930000015	normal	short	fastslow	1	1
3690.2003711	30	109	viz.VizPrimitive(6)	1.75	35	viz.VizPrimitive(8)	3.5	35	1	6.02942989999974	normal	long	slowfast	1	2
3733.4150673	30	110	viz.VizPrimitive(6)	1.75	7	viz.VizPrimitive(5)	3.5	7	1	8.82870309999998	normal	short	slowfast	1	1
3755.4279019	30	111	viz.VizPrimitive(5)	1.75	7	viz.VizPrimitive(6)	3.5	7	0	8.69618990000026	normal	short	slowfast	0	1
3777.3185754	30	112	viz.VizPrimitive(7)	0.35	7	viz.VizPrimitive(6)	0.7	7	0	2.60378159999982	slow	short	slowfast	0	0
3817.101577	30	113	viz.VizPrimitive(8)	1.75	35	viz.VizPrimitive(6)	3.5	35	1	8.3296650000002	normal	long	slowfast	1	2
52.5478281	4	2	viz.VizPrimitive(7)	0.7	7	viz.VizPrimitive(8)	0.35	7	0	0.788881199999992	slow	short	fastslow	1	0
90.5205295	4	3	viz.VizPrimitive(7)	0.35	7	viz.VizPrimitive(8)	0.7	7	0	2.74290710000001	slow	short	slowfast	0	0
130.459208	4	4	viz.VizPrimitive(6)	3.5	35	viz.VizPrimitive(8)	1.75	35	1	0.244172600000013	normal	long	fastslow	0	2
167.898806	4	5	viz.VizPrimitive(5)	3.5	7	viz.VizPrimitive(7)	1.75	7	0	1.5873283	normal	short	fastslow	1	1
